,time,count,length,before,after
19,0.0475,45,651,"{{{masterpiece}}},best quality,illustration,beautiful detailed glow,clear edges,detailed ice,red moon,{magic circle:1},{beautiful detailed eyes},expressionless,beautiful detailed white gloves,own hands clasped,{floating palaces:1.1},azure hair,long bangs,hairs between eyes,dark dress,{dark magician girl:1.1},white bowties,{{{half closed eyes}}},,big forhead,blank stare,flower,large top sleeves,{start sky:1.2},{{{solo}}},only one girl in the picture,nontraditional miko,gothic lolita,silhouette,yokozuwari,in a meadow,in the cyberpunk city,1girl,happy,smile,open mouth,cute face,long hair,white hair,lingerie,socks removed,hair ornament,hair flower","best quality,novel illustration,glowing lines,glass,ice,red moon,{eyes},white gloves,own hands clasped,{floating castle:1.1},hair envy,long bangs,hair between eyes,black dress,{dark magician girl (cosplay:1.1},white bowtie,{{{half-closed eyes}}},large forehead,sleeves pushed up,{star sky:1.2},{{{sou}}},1girl,nontraditional miko,silhouette,meadow,cyberpunk,1girl,awesome face,long hair,socks removed,hair ornament"
20,0.0736,79,1067,"{{illustration}},{{floating hair}},{{chromatic aberration}},{{caustic}},lens flare,dynamic angle,{1 girl},{{solo}},cute face,{{hidden hands}},asymmetrical bangs,{beautiful detailed eyes},eye shadow,{{huge clocks}},{{glass strips}},{floating glass fragments},{{colorful refraction}},{{dark intense shadows}},{{cinematic lighting}},{{overexposure}},{expressionless},blank stare,big top sleeves,{{frills}},hair_ornament,ribbons,bowties,buttons,{{{small breast}}},pleated skirt,{{sharp focus}},{{masterpiece}},{{{best quality}}},{{extremely detailed}},colorful,hdr,portrait,game cg,backgrr characters,contemporary,yokozuwari,motion blur,character:moriya suwako,character:kagamine len,tanlines,doggystyle,retro artstyle,bubble,demon girl,smile,longeyelashes,crying,wide eyed,brown hair,eyebrows visible through hair,silver hair,grey hair,earrings,glasses,bracelet,rabbit tail,hand fan,gem,hair ear,sunglasses,black nails,half gloves,own hands together,back-to-back,fisting,bunny,in winter,in the cyberpunk city,nature,snow,floral backgrr,black eyes,pointy ears,otoko no ko","{{novel illustration}},{{chromatic aberration}},{{caustic tar}},angle,{1girl},{{sou}},awesome face,{{hands}},{eyes},eyeshadow,{{too many clocks}},{{glass}},{glass shards},{{refraction}},{{shadowed}},{{backlighting}},wide sleeves,hair ornament,ribbon (ribbons,bowtie,buttons,{{{small breasts}}},pleated skirt,{{focused}},{{{best quality}}},{{detailed}},adjusted color balance,character watermark,character:the bad:moriya suwako,character:the bad:kagamine len,tanlines,bubble,eyelashes,brown hair,eyebrows visible through hair,earrings,bracelet,rabbit tail,hair around ear,sunglasses,black nails,half gloves,bunny,winter,cyberpunk,snow,floral background"
21,0.0108,4,42,"golden dragon,night,full of star,full moon","dragon,star (stars,full moon"
22,0.0358,34,591,"((master piece)),((best quality)),illustration,colorful,(ultra-detailed),beautiful detailed eyes,beautiful detailed hair,exquisite  eyes,((an extremely delicate and beautiful)),(dynamic angle),hair spread out,ruffling hair,hair floral print,hair half undone,1girl,dragon girl,a big dragon stands behind the girl,green eyes,mechanical equipment,mechanical armor,exposing the belly,broken clothes,small breasts,(cold face),rain day,thunder,arknights,exquisite and beautiful silver dragon armor,(( white hair)),watercolor,(aestheticism painting),filigree,exquisite and beautiful dragon,grey day","((masterpiece)),((best quality)),novel illustration,(detailed),eyes,textured hair,eyes,((soft beauty)),(angle),hair spread out,floral print,hair half undone,1girl,dragon girl,dragon girl,machinery,elaborate armor,bare belly,torn clothes,(bad face),rain,thunder,w (arknights,character:silver rathalos armor,watercolor medium,(oil painting medium),filigree,divine dragon,grey sky"
23,0.0129,9,86,"bug,robot,character design,strong rim light,surrred,wings,blood on face,forehead mark,","bug,character profile,rim,srtiped"
24,0.0219,17,212,"a young goddess,reclining,in the air,{{holding a beautiful bird}},long dress,queen,ancient,crown,snow in the backgrr,sitting on a huge bird,{{game cg}},{{retro artstyle}},fire,white hair,,jewelry,surrred by birds","goddess,flying,{{holding bird}},ancient,snow,bird on lap,{{retro artstyle}},jewelry,too many birds"
25,0.0179,13,127,"christmas,fire,brown eyes,short hair,black hair,multiple girls,indian style,retro artstyle,snowing,starry sky,dark,red backgrr,","christmas,short hair,retro artstyle,red background"
26,0.0172,11,177,"Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","shelving book,cave,best quality,desert ,retro architecture,nature land,sunlight,official art,copyright:unity game engine"
27,0.0137,10,84,"girl, sheep ear, sheep body,glowing,watercolor, universe, cute, 8k, technology, star"," sheep ears, sheep penis,watercolor medium, cute, h6k"
28,0.0122,7,64,"muscular male,one boy,dark skin,wings,smile,disheveled hair,wind","one boy,dark skin,smile,disheveled"
