,time,count,length,before,after
13,0.1057,23,408,"ramatic angle,(fluttered detailed ink splashs),(illustration),(((1 girl))),(long hair),(rain:0.6),((expressionless)),((carmine hair ornament:1.4)),(there is a palace far away from the girl),chinese clothes,((focus on the girl)),color ink wash painting,(ink splashing),(huaqing splashing),((colorful)),[sketch],masterpiece,best quality,beautifully painted,highly detailed,(denoising:0.7),[splash ink],yin yang","angle,(ink stain),(novel illustration),(((1girl))),(long hair),(rain:0.6),((expressionless)),((hair ornament:1.4)),(princess),chinese clothes,((other focus)),ink wash painting,(ink stain),(meng qian guang),((colorful)),[sketch],masterpiece,best quality,painted on,detailed,(aliasing:0.7),[ink],yin yang"
14,0.0342,7,84,"over the sea,one girl,white pupils,high ponytail,wedding dress,necklace,official art","over water,one girl,white pupils,high ponytail,wedding dress,necklace,official art"
15,0.1556,34,407,"{{{masterpiece}}},{{{best quality}}},{{ultra-detailed}},{illustration},{{an extremely delicate and beautiful}},dynamic angle,floating,{{detailed light 1girl}},loli,small_breasts,floating_hair,pointy_ears,halter dress,feather,leaves,river,{forest},{painting},{sketch},{bloom},depth of field,rough sketch,gothic,halloween,faceless male,crazy,dark persona,wings,straw hat,monster,ghost,star (symbol,knife,sword","{{{masterpiece}}},{{{best quality}}},{{detailed}},{novel illustration},{{soft beauty}},angle,floating,{{girl}},loli,small breasts,floating hair,pointy ears,halter dress,feather (feathers,foliage,river,{forest},{painting},{sketch},{bloom},depth of field,sketch,gothic,halloween,faceless male,crazy,dark persona,wings,straw hat,monster,ghost,star (symbol,knife,sword"
16,0.1109,24,267,"1 little girl,long white hair,center frills dress,beautiful face,sitting around a desk,in winter,snow,female,nose,pale skin,twin braids,idol,asian,eyelashes,freckles,wavy hair,long hair,brown hair,eyebrows,sweater jacket,green eyes,light blush,hoodie,high-waist skirt","1girl,white hair,frilled dress,awesome face,sitting on desk,winter,snow,mature female,nose,pale skin,twin braids,idol,asian,eyelashes,freckles,wavy hair,long hair,brown hair,eyebrows,sweater jacket,green eyes,light blush,hoodie,high-waist skirt"
17,0.0431,9,82,"dynamic light,crazy mind,diamond,{joker},kill,hell,star,{black hole},giant machine","light,crazy,diamond (shape,{joker (dc},death,hell,star,{black hole},machine"
18,0.151,33,602,"{{{masterpiece}}},{{the best quality}},super fine illustrations,beautiful and delicate water,Depth of field,fine 8KCG wallpapers,{extremely delicate and beautiful},{clear face},{delicate light},{{cinematic lighting}},detailed face,{portrait},Portrait lens,{{{Alphonse Mucha}}},{{Fantasy style}},{{shine}},{{{Tarot card}}},{lace},{ribbon},{detailed clothes},{multicolored Butterfly},{neon palette},{{{detailed flowers fill the screen}}},{{{{{{{Fill the screen 1 girl}}}}}}},long golden hair,pose,sage,druid,{{{{decorated green cloak}}}},decorated green hood,{{{detailed leaves fill the screen}}},no bra,","{{{masterpiece}}},{{best quality}},artist:cc drawing,water,depth of field,official wallpaper,{soft beauty},{no mask},{light},{{lights}},face,{portrait},camera lens,{{{alphonse mucha style}}},{{fantasy}},{{shine}},{{{tarot}}},{lace},{ribbon},{clothes},{butterfly flower},{neon palette},{{{floral background}}},{{{{{{{text only page}}}}}}},very long hair,pose,sode,druid,{{{{green cloak}}}},green hood,{{{privacy screen}}},no bra,"
19,0.2075,45,651,"{{{masterpiece}}},best quality,illustration,beautiful detailed glow,clear edges,detailed ice,red moon,{magic circle:1},{beautiful detailed eyes},expressionless,beautiful detailed white gloves,own hands clasped,{floating palaces:1.1},azure hair,long bangs,hairs between eyes,dark dress,{dark magician girl:1.1},white bowties,{{{half closed eyes}}},,big forhead,blank stare,flower,large top sleeves,{start sky:1.2},{{{solo}}},only one girl in the picture,nontraditional miko,gothic lolita,silhouette,yokozuwari,in a meadow,in the cyberpunk city,1girl,happy,smile,open mouth,cute face,long hair,white hair,lingerie,socks removed,hair ornament,hair flower","{{{masterpiece}}},best quality,novel illustration,glorious glow,close to,ice,red moon,{magic circle:1},{eyes},expressionless,white gloves,own hands clasped,{floating city:1.1},blue hair,long bangs,hair between eyes,black dress,{character:dark magician girl:1.1},white bowtie,{{{half-closed eyes}}},,big head,blank stare,flower,single-shoulder shirt,{star sky:1.2},{{{}}},one girl,miko toranoana cosplay,gothic lolita,silhouette,yokozuwari,meadow,cyberpunk,1girl,happy,smile,open mouth,awesome face,long hair,white hair,lingerie,socks removed,hair ornament,hair flower"
20,0.3653,79,1073,"{{illustration}},{{floating hair}},{{chromatic aberration}},{{caustic}},lens flare,dynamic angle,{1 girl},{{solo}},cute face,{{hidden hands}},asymmetrical bangs,{beautiful detailed eyes},eye shadow,{{huge clocks}},{{glass strips}},{floating glass fragments},{{colorful refraction}},{{dark intense shadows}},{{cinematic lighting}},{{overexposure}},{expressionless},blank stare,big top sleeves,{{frills}},hair_ornament,ribbons,bowties,buttons,{{{small breast}}},pleated skirt,{{sharp focus}},{{masterpiece}},{{{best quality}}},{{extremely detailed}},colorful,hdr,portrait,game cg,background characters,contemporary,yokozuwari,motion blur,character:moriya suwako,character:kagamine len,tanlines,doggystyle,retro artstyle,bubble,demon girl,smile,longeyelashes,crying,wide eyed,brown hair,eyebrows visible through hair,silver hair,grey hair,earrings,glasses,bracelet,rabbit tail,hand fan,gem,hair ear,sunglasses,black nails,half gloves,own hands together,back-to-back,fisting,bunny,in winter,in the cyberpunk city,nature,snow,floral background,black eyes,pointy ears,otoko no ko","{{novel illustration}},{{floating hair}},{{chromatic aberration}},{{caustic tar}},lens flare,angle,{1girl},{{}},awesome face,{{bad hands}},asymmetrical bangs,{eyes},eyeshadow,{{too many clocks}},{{glass}},{glass shards},{{refraction}},{{shadowed}},{{lights}},{{overexposure}},{expressionless},blank stare,wide sleeves,{{frills}},hair ornament,ribbon,bowtie,buttons,{{{small breasts}}},pleated skirt,{{focused}},{{masterpiece}},{{{best quality}}},{{detailed}},colorful,,portrait,game cg,character request,,yokozuwari,motion blur,character:2.0:moriya suwako,character:2.0:kagamine len,tanlines,doggystyle,retro artstyle,bubble,demon girl,smile,long eyelashes,crying,wide eyed,brown hair,eyebrows visible through hair,silver hair,grey hair,earrings,glasses,bracelet,rabbit tail,hand fan,gem,hair around ear,sunglasses,black nails,half gloves,own hands together,back-to-back,fisting,bunny,winter,cyberpunk,nature,snow,floral background,black eyes,pointy ears,otoko no ko"
21,0.0204,4,42,"golden dragon,night,full of star,full moon","dragon,night,star (stars,full moon"
22,0.158,34,591,"((master piece)),((best quality)),illustration,colorful,(ultra-detailed),beautiful detailed eyes,beautiful detailed hair,exquisite  eyes,((an extremely delicate and beautiful)),(dynamic angle),hair spread out,ruffling hair,hair floral print,hair half undone,1girl,dragon girl,a big dragon stands behind the girl,green eyes,mechanical equipment,mechanical armor,exposing the belly,broken clothes,small breasts,(cold face),rain day,thunder,arknights,exquisite and beautiful silver dragon armor,(( white hair)),watercolor,(aestheticism painting),filigree,exquisite and beautiful dragon,grey day","((masterpiece)),((best quality)),novel illustration,colorful,(detailed),eyes,hair envy,eyes,((soft beauty)),(angle),hair spread out,ruffling hair,floral print,hair half undone,1girl,dragon girl,dragon girl,green eyes,equipment,artist:sdhjjjd,belly,torn clothes,small breasts,(cold),rain,thunder,w (arknights,ornate armor,(( white hair)),watercolor medium,(fine art),filigree,divine dragon,grey sky"
23,0.0443,9,89,"bug,robot,character design,strong rim light,surrounded,wings,blood on face,forehead mark,","bug,robot,character request,light,surrounded,wings,blood on face,forehead mark,"
24,0.0799,17,218,"a young goddess,reclining,in the air,{{holding a beautiful bird}},long dress,queen,ancient,crown,snow in the background,sitting on a huge bird,{{game cg}},{{retro artstyle}},fire,white hair,,jewelry,surrounded by birds","goddess,reclining,flying,{{holding bird}},long dress,queen,ancient,crown,snow,sitting on animal,{{game cg}},{{retro artstyle}},fire,white hair,,jewelry,too many birds"
25,0.0613,13,130,"christmas,fire,brown eyes,short hair,black hair,multiple girls,indian style,retro artstyle,snowing,starry sky,dark,red background,","christmas,fire,brown eyes,short hair,black hair,multiple girls,indian style,retro artstyle,snowing,starry sky,dark,red background,"
26,0.0538,11,177,"Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","bookshelf,union cave,best quality,desert ,cactus,retro architecture,wasteland,sun-sun,official art,artist:xubeichaoyansuan,masterpiece"
27,0.0485,10,84,"girl, sheep ear, sheep body,glowing,watercolor, universe, cute, 8k, technology, star","girl, sheep ears, sheep,glowing,watercolor medium, universe, cute, h8k, technology, star"
28,0.0344,7,64,"muscular male,one boy,dark skin,wings,smile,disheveled hair,wind","muscular male,one boy,dark skin,wings,smile,disheveled,wind"
