,time,count,length,before,after
10,0.1868,39,450,"At noon,Sallulu,yellow light,reflection,sunlight,highlight,particle effect,edge light,light transmission,softness and transition,illustration,masterpiece,high quality,lady,girl,temptation,blue eyes,long hair,white hair,white necklace,white lace underwear,white stockings,bedroom,indoor light,pillow,round bed,medium chest,liquid,curtain,vase,desk lamp,yellow plush toys,desk,Luxury,,official art,best quality,extremely detailed CG unity 8k wallpaper,","sunday,galsuwaidi,yellow blood,reflection,sunlight,highlights,unusual effect,light,light,soft beauty,diagram,,high quality,lady89,girl,temptation module,blue eyes,long hair,white hair,necklace,white panties,white legwear,bedroom,light,pillow,round bed,chest,liquid,curtains,,desk lamp,yellow,on desk,glamour,,official art,best quality,artist:kamigokuin,"
11,0.1964,41,666,"medium chest,masterpiece,dynamic light,highlight,bloom,white hair,pink lipstick,pink powder blusher,long eyelashes,{{{{eye shadow}}}},sweater,off shoulder,short skirt,pink stockings,black hair band,{{best quality}},official art,{{extremely detailed CG unity 8k wallpaper}},standing,{{{mole under eye}}},{hand on own chest},in the market,{{{dyed bangs}}},{{{{{slim}}}}},{{{one adorable girl}}},{{hair over shoulder}},{{{{{cute face}}}}},{{alternate hair length}},{{floating hair}}, {{chromatic aberration}},{{caustic}}, lens flare, dynamic angle, {{portrait}},{{cinematic lighting}}, {beautiful detailed eyes},{{{{playground}}}},colorful, hdr, {{extremely detailed}},","chest,,light,highlights,bloom,white hair,pink lipstick,pink eyeshadow,long eyelashes,{{{{eyeshadow}}}},sweater,off shoulder,shorts under skirt,pink socks,black hairband,{{best quality}},official art,{{artist:kamigokuin}},standing,{{{mole under eye}}},{hand on own chest},market,{{{dyed bangs}}},{{{{{slim101}}}}},{{{one girl}}},{{hair over shoulder}},{{{{{awesome face}}}}},{{alternate hair length}},{{floating hair}}, copyright:1 fps}},{{stylistic}}, lens flare, angle, self-portrait}},{{lights}}, eyes},{{{{playground}}}},colorful, , well}},"
12,0.1812,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((diagram)), floating hair)), artist:ameno0u0)), stylistic)), lens flare, angle, copyright:majokabe)), 1girl), )), awesome face, bad hands)), asymmetrical bangs, eyes), eyeshadow, too many clocks)), glass)), glass shards), refraction)), cloudy sky), shadow)), backlighting)), overexposure)), expressionless), blank stare, wide sleeves, frills)), hair ornament, ribbon, bowtie, buttons, small breasts))), pleated skirt, coughing blood)), epic)), best quality))), oked oc)), colorful, "
13,0.1094,23,408,"ramatic angle,(fluttered detailed ink splashs),(illustration),(((1 girl))),(long hair),(rain:0.6),((expressionless)),((carmine hair ornament:1.4)),(there is a palace far away from the girl),chinese clothes,((focus on the girl)),color ink wash painting,(ink splashing),(huaqing splashing),((colorful)),[sketch],masterpiece,best quality,beautifully painted,highly detailed,(denoising:0.7),[splash ink],yin yang","angle,(ink stain),(diagram),(((1girl))),(long hair),(rain:0.6),((expressionless)),((hair ornament:1.4)),(princess),chinese clothes,((other focus)),ink wash painting,(ink stain),(meng qian guang),((colorful)),[sketch],,best quality,painted on,detailed,(noise reduction:0.7),[ink well],yin yang"
14,0.034,7,84,"over the sea,one girl,white pupils,high ponytail,wedding dress,necklace,official art","over water,one girl,white pupils,high ponytail,wedding dress,necklace,official art"
15,0.1608,34,407,"{{{masterpiece}}},{{{best quality}}},{{ultra-detailed}},{illustration},{{an extremely delicate and beautiful}},dynamic angle,floating,{{detailed light 1girl}},loli,small_breasts,floating_hair,pointy_ears,halter dress,feather,leaves,river,{forest},{painting},{sketch},{bloom},depth of field,rough sketch,gothic,halloween,faceless male,crazy,dark persona,wings,straw hat,monster,ghost,star (symbol,knife,sword","{{{}}},{{{best quality}}},{{detailed}},{diagram},{{soft beauty}},angle,floating,{{girl}},loli,small breasts,floating hair,pointy ears,halter dress,feather (feathers,foliage,river,{forest},{painting},{sketch},{bloom},depth of field,sketch,gothic,halloween,faceless male,crazy,dark persona,wings,straw hat,monster,ghost,star (symbol,knife,sword"
16,0.1172,24,267,"1 little girl,long white hair,center frills dress,beautiful face,sitting around a desk,in winter,snow,female,nose,pale skin,twin braids,idol,asian,eyelashes,freckles,wavy hair,long hair,brown hair,eyebrows,sweater jacket,green eyes,light blush,hoodie,high-waist skirt","1girl,long hair,frilled dress,awesome face,sitting on desk,cold,snow,,nose,pale skin,twin braids,idol,asian,eyelashes,freckles,wavy hair,long hair,brown hair,eyebrows,sweater jacket,green eyes,light blush,hoodie,high-waist skirt"
17,0.0472,9,82,"dynamic light,crazy mind,diamond,{joker},kill,hell,star,{black hole},giant machine","light,crazy,diamond (shape,{joker (dc},death,hell,star,{black hole},machine"
18,0.1614,33,602,"{{{masterpiece}}},{{the best quality}},super fine illustrations,beautiful and delicate water,Depth of field,fine 8KCG wallpapers,{extremely delicate and beautiful},{clear face},{delicate light},{{cinematic lighting}},detailed face,{portrait},Portrait lens,{{{Alphonse Mucha}}},{{Fantasy style}},{{shine}},{{{Tarot card}}},{lace},{ribbon},{detailed clothes},{multicolored Butterfly},{neon palette},{{{detailed flowers fill the screen}}},{{{{{{{Fill the screen 1 girl}}}}}}},long golden hair,pose,sage,druid,{{{{decorated green cloak}}}},decorated green hood,{{{detailed leaves fill the screen}}},no bra,","{{{}}},{{best quality}},artist:cc drawing,water,depth of field,official wallpaper,{soft beauty},{no mask},{light},{{lights}},face,{portrait},exif rotation,{{{artist:william-adolphe bouguereau}}},{{fantasy}},{{shine}},{{{tarot}}},{lace},{ribbon},{clothes},{multicolored flower},{neon palette},{{{floral background}}},{{{{{{{text only page}}}}}}},unicorn (artist,pose,sode,druid,{{{{green cloak}}}},green hood,{{{leaf background}}},no bra,"
19,0.2107,45,651,"{{{masterpiece}}},best quality,illustration,beautiful detailed glow,clear edges,detailed ice,red moon,{magic circle:1},{beautiful detailed eyes},expressionless,beautiful detailed white gloves,own hands clasped,{floating palaces:1.1},azure hair,long bangs,hairs between eyes,dark dress,{dark magician girl:1.1},white bowties,{{{half closed eyes}}},,big forhead,blank stare,flower,large top sleeves,{start sky:1.2},{{{solo}}},only one girl in the picture,nontraditional miko,gothic lolita,silhouette,yokozuwari,in a meadow,in the cyberpunk city,1girl,happy,smile,open mouth,cute face,long hair,white hair,lingerie,socks removed,hair ornament,hair flower","{{{}}},best quality,diagram,glorious glow,close to,breathing ice,red moon,{magic circle:1},{eyes},expressionless,white gloves,own hands clasped,{floating city:1.1},azure (kireiazure,long bangs,hair between eyes,flowing dress dq,{character:dark magician girl:1.1},white bowtie,{{{half-closed eyes}}},,title,blank stare,flower,single-shoulder shirt,{star sky:1.2},{{{}}},when you see it,nontraditional miko,gothic lolita,,yokozuwari,meadow,cyberpunk,1girl,happy,smile,open mouth,awesome face,long hair,white hair,lingerie,socks removed,hair ornament,hair flower"
20,0.3734,79,1073,"{{illustration}},{{floating hair}},{{chromatic aberration}},{{caustic}},lens flare,dynamic angle,{1 girl},{{solo}},cute face,{{hidden hands}},asymmetrical bangs,{beautiful detailed eyes},eye shadow,{{huge clocks}},{{glass strips}},{floating glass fragments},{{colorful refraction}},{{dark intense shadows}},{{cinematic lighting}},{{overexposure}},{expressionless},blank stare,big top sleeves,{{frills}},hair_ornament,ribbons,bowties,buttons,{{{small breast}}},pleated skirt,{{sharp focus}},{{masterpiece}},{{{best quality}}},{{extremely detailed}},colorful,hdr,portrait,game cg,background characters,contemporary,yokozuwari,motion blur,character:moriya suwako,character:kagamine len,tanlines,doggystyle,retro artstyle,bubble,demon girl,smile,longeyelashes,crying,wide eyed,brown hair,eyebrows visible through hair,silver hair,grey hair,earrings,glasses,bracelet,rabbit tail,hand fan,gem,hair ear,sunglasses,black nails,half gloves,own hands together,back-to-back,fisting,bunny,in winter,in the cyberpunk city,nature,snow,floral background,black eyes,pointy ears,otoko no ko","{{diagram}},{{floating hair}},{{chromatic aberration}},{{stylistic}},lens flare,angle,{1girl},{{}},awesome face,{{bad hands}},asymmetrical bangs,{eyes},eyeshadow,{{too many clocks}},{{glass}},{glass shards},{{refraction}},{{shadowed}},{{lights}},{{overexposure}},{expressionless},blank stare,wide sleeves,{{frills}},hair ornament,ribbon,bowtie,buttons,{{{small breasts}}},pleated skirt,{{focused}},{{}},{{{best quality}}},{{detailed}},colorful,,portrait,game cg,character request,,yokozuwari,motion blur,character:2.0:moriya suwako,character:2.0:kagamine len,tanlines,doggystyle,retro artstyle,bubble,demon girl,smile,long eyelashes,crying,wide eyed,brown hair,eyebrows visible through hair,silver hair,grey hair,earrings,old,bracelet,rabbit tail,hand fan,gem,hair around ear,sunglasses,black nails,half gloves,own hands together,back-to-back,fisting,bunny,cold,cyberpunk,nature,snow,floral background,black eyes,pointy ears,otoko no ko"
21,0.0207,4,42,"golden dragon,night,full of star,full moon","dragon,night,star (stars,full moon"
22,0.1615,34,591,"((master piece)),((best quality)),illustration,colorful,(ultra-detailed),beautiful detailed eyes,beautiful detailed hair,exquisite  eyes,((an extremely delicate and beautiful)),(dynamic angle),hair spread out,ruffling hair,hair floral print,hair half undone,1girl,dragon girl,a big dragon stands behind the girl,green eyes,mechanical equipment,mechanical armor,exposing the belly,broken clothes,small breasts,(cold face),rain day,thunder,arknights,exquisite and beautiful silver dragon armor,(( white hair)),watercolor,(aestheticism painting),filigree,exquisite and beautiful dragon,grey day","((masterpiece)),((best quality)),diagram,colorful,(detailed),eyes,hair envy,eyes,((soft beauty)),(angle),hair spread out,ruffling hair,hair flower,hair half undone,1girl,dragon girl,dragon girl,green eyes,equipment,asymmetrical armor,belly,torn clothes,small breasts,(cold),rain,thunder,fortress granblue fantasy,ornate armor,(( white hair)),watercolor medium,(fine art),structure,divine dragon,grey sky"
23,0.0455,9,89,"bug,robot,character design,strong rim light,surrounded,wings,blood on face,forehead mark,","bug,robot,character request,light,surrounded,wings,blood on face,forehead mark,"
24,0.0857,17,218,"a young goddess,reclining,in the air,{{holding a beautiful bird}},long dress,queen,ancient,crown,snow in the background,sitting on a huge bird,{{game cg}},{{retro artstyle}},fire,white hair,,jewelry,surrounded by birds","goddess,reclining,flying,{{holding bird}},long dress,queen,ancient,crown,snow,sitting on animal,{{game cg}},{{retro artstyle}},fire,white hair,,jewelry,too many birds"
25,0.064,13,130,"christmas,fire,brown eyes,short hair,black hair,multiple girls,indian style,retro artstyle,snowing,starry sky,dark,red background,",",fire,brown eyes,short hair,black hair,multiple girls,indian style,retro artstyle,snowing,starry sky,dark,red background,"
26,0.0551,11,177,"Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","bookshelf,union cave,best quality,desert ,,retro architecture,wasteland,sun-sun,official art,artist:kamigokuin,"
27,0.0492,10,84,"girl, sheep ear, sheep body,glowing,watercolor, universe, cute, 8k, technology, star","girl, sheep ears, sheep,glowing,watercolor medium, universe, cute, h8k, technology, star"
28,0.0342,7,64,"muscular male,one boy,dark skin,wings,smile,disheveled hair,wind","muscular male,one boy,dark skin,wings,smile,disheveled,wind"
